N (rows),time (us),instructions,cycles,GFLOP/s
4000,74953150,833289967744,1074743097025,1.7077334308164502
4000,74967940,833141281276,1074566475278,1.7073965217665046
4000,74907050,833267540982,1074604516771,1.7087844201580493
4000,74969920,833153614004,1074583737356,1.7073514284128888
4000,77933860,833340926916,1083623443873,1.6424183275408148
