N (rows),time (us),instructions,cycles,GFLOP/s
4000,21394560,257620832559,81516500660,5.982829279966497
4000,21420840,257355812834,81387937848,5.9754892898691185
4000,21360950,257455124536,81264438185,5.992242854367433
4000,21352750,257632573318,81257896653,5.994544028286755
4000,21420930,257330507034,81499826808,5.975464183861298
